,importance
vib_per_rpm,0.035133282710565934
torque_nm_m10,0.03407753653742239
wear_torque,0.03295851356646422
rot_speed_rpm_m10,0.03074750966981698
wear_torque_m10,0.030475718555536047
rot_speed_rpm_m30,0.0286149373001899
power_w_m10,0.02822898419286994
torque_nm_m30,0.026489340854900848
tool_wear_min,0.02449381871176971
current_a_m10,0.023154067203686738
temp_diff_k_m10,0.019531706777541492
tool_wear_min_m10,0.019380478699681424
torque_nm_m60,0.018675465333351293
process_temp_k_m60,0.017870283658900657
wear_torque_m30,0.017837826098503203
current_a_m30,0.017709402601667795
rot_speed_rpm_m60,0.016568768132926605
air_temp_k_m10,0.016558687211135906
power_w_m30,0.016543900109795534
process_temp_k_m30,0.014358161035890637
air_temp_k,0.0141645450598203
rot_speed_rpm,0.014147979061385397
air_temp_k_m60,0.013769087940981023
air_temp_k_m30,0.013474957121721913
torque_nm,0.013122012879275408
tool_wear_min_m30,0.012847725577654715
power_w_m60,0.012708550296738147
temp_diff_k,0.012615016191856822
vibration_mms_m10,0.012454218421256305
vibration_mms_m30,0.012378417086731573
